Date,SPX_Open,SPX_High,SPX_Low,SPX_Close,SPX_Volume,NDX_Open,NDX_High,NDX_Low,NDX_Close,NDX_Volume,10Y_Yield,3M_Yield,RSI,VIX,CNN,Put_Call,DXY,BTC_Chg,HYG_Price,Risk_Ratio,IWM_Price,SOXX_Price,NAAIM,SKEW,AAII_Diff,Above_200MA
2026-04-21,7122.64,7137.27,7050.20,7064.01,2981757000,26658.85,26730.64,26405.30,26479.47,1116024000,4.29,3.60,68.2,19.50,68,0.91,98.38,0.40,80.37,1.45,274.51,420.70,79.49,140.91,-11.1,56.26
2026-04-22,7102.91,7138.64,7102.91,7137.90,2804123000,26715.92,26942.13,26662.88,26937.28,1088832000,4.29,3.60,71.3,18.92,68,0.86,98.58,2.29,80.50,1.45,276.48,431.77,79.49,140.84,-11.1,56.66
2026-04-23,7118.80,7147.78,7046.55,7108.40,3238398000,26844.61,27007.87,26540.32,26782.62,1291750000,4.32,3.60,68.3,19.31,66,0.91,98.81,-0.17,80.37,1.41,275.52,441.00,94.15,139.59,11.6,55.66
2026-04-24,7136.48,7168.59,7112.82,7165.08,3179035000,27082.42,27314.21,26986.39,27303.67,1535329000,0,3.59,70.7,18.71,66,0.91,98.51,-0.90,80.48,1.43,276.65,461.60,94.15,0,11.6,54.67
2026-04-27,7152.72,7178.74,7146.72,7173.91,3008576000,27278.28,27315.23,27158.88,27305.68,1285672000,0,3.59,71.4,18.02,67,0.86,98.52,-1.97,80.51,1.43,277.14,455.41,94.15,0,11.6,55.06
2026-04-28,7133.74,7152.52,7115.17,7138.80,3031611000,26988.77,27115.77,26877.59,27029.01,1223498000,0,3.59,67.6,17.83,64,0.83,98.62,-0.97,80.40,1.41,273.91,438.71,94.15,0,11.6,55.26
2026-04-29,7131.61,7145.63,7107.86,7135.95,3261127000,27069.36,27199.72,26995.38,27186.98,1324292000,0,3.59,67.3,18.81,64,0.93,98.91,0.02,80.13,1.41,272.08,449.99,0,0,11.6,53.67
2026-04-30,7161.75,7219.83,7126.15,7209.01,3941277000,27328.99,27488.03,27029.41,27452.12,1642882000,0,3.58,71.0,16.89,67,0.78,98.14,1.18,80.38,1.40,277.97,461.44,94.15,0,-1.6,57.25
2026-05-01,7234.54,7272.52,7229.32,7230.12,2918281000,27508.57,27787.12,27501.43,27710.36,1203489000,0,3.58,72.0,16.99,67,0.78,98.21,2.67,80.06,1.41,279.28,465.75,93.79,0,-1.6,56.85
2026-05-04,7228.38,7244.54,7174.12,7200.75,2940319000,27731.34,27822.37,27504.09,27651.82,1123065000,0,3.59,68.9,18.29,63,0.87,98.52,2.21,79.80,1.41,277.88,462.06,93.79,0,-1.6,53.47
2026-05-05,7233.62,7273.26,7233.62,7259.22,3197863000,27895.05,28065.63,27844.23,28015.06,1365261000,0,3.60,72.4,17.38,67,0.84,98.25,1.78,79.92,1.40,282.56,482.73,93.79,0,-1.6,54.47
2026-05-06,7294.14,7369.22,7294.14,7365.12,3841722000,28234.02,28608.68,28208.23,28599.17,1494999000,0,3.60,76.6,17.39,68,0.67,97.92,0.38,80.16,1.42,286.80,506.87,93.79,0,-1.6,55.86
2026-05-07,7376.78,7385.02,7321.25,7337.11,3549269000,28612.54,28825.52,28440.05,28563.95,1368410000,0,3.60,73.3,17.08,68,0.80,98.23,-2.19,79.86,1.43,282.26,492.36,96.67,0,5.3,55.26
2026-05-08,7362.97,7401.50,7362.97,7398.93,3311720000,28768.12,29234.99,28751.21,29234.99,1400380000,0,3.60,75.8,17.19,67,0.74,97.84,0.46,80.14,1.43,284.17,520.30,96.67,0,5.3,52.98
2026-05-11,7385.31,7428.97,7384.20,7412.84,3378815000,29185.83,29372.43,29143.20,29320.66,1420168000,0,3.60,77.0,18.38,67,0.74,98.14,-1.04,79.98,1.43,285.33,532.76,96.67,0,5.3,53.98
2026-05-12,7390.63,7409.57,7338.54,7400.96,3217693000,29067.36,29188.07,28628.64,29064.80,1354084000,0,3.60,75.7,17.99,67,0.84,98.29,-0.85,79.87,1.40,282.57,515.99,96.67,0,5.3,53.87
2026-05-13,7409.12,7460.04,7375.13,7444.25,3261277000,29159.95,29452.26,28968.55,29366.94,1293719000,0,3.60,77.4,17.87,66,0.73,98.46,-1.12,79.91,1.40,282.67,528.29,96.67,0,5.3,52.68
2026-05-14,7454.40,7517.12,7454.40,7501.24,3015467000,29372.65,29678.89,29350.10,29580.30,1200605000,0,3.59,79.5,17.26,66,0.67,99.06,2.34,79.85,1.40,284.45,530.03,77.34,0,2.7,53.87
